2016-10-14 16:40:38.278 ; TestPlan      ; Debug       ; TestStep Delay (1) PrePlanRunCompleted. [0 ms]
2016-10-14 16:40:38.278 ; TestPlan      ; Debug       ; TestStep Set Verdict PrePlanRunCompleted. [0 ms]
2016-10-14 16:40:38.288 ; TestPlan      ; Information ; "Delay" started.
2016-10-14 16:40:39.150 ; Session       ; Debug       ; Windows Version: Microsoft Windows NT 6.2.9200.0
2016-10-14 16:40:39.150 ; Session       ; Debug       ; .Net Version: CDF, v2.0.50727, v3.0, v3.5, v4, v4.0
2016-10-14 16:40:39.150 ; Session       ; Debug       ; Keysight I/O Libs Version:81.1.20011.4
2016-10-14 16:40:39.150 ; Session       ; Debug       ; Processor Name: Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz
2016-10-14 16:40:39.328 ; TestPlan      ; Information ; "Delay" completed. [1034 ms]
2016-10-14 16:40:39.328 ; TestPlan      ; Information ; "Delay (1)" started.
2016-10-14 16:40:40.351 ; TestPlan      ; Information ; "Delay (1)" completed. [1021 ms]
2016-10-14 16:40:40.351 ; TestPlan      ; Information ; "Set Verdict" started.
2016-10-14 16:40:40.352 ; TestPlan      ; Information ; "Set Verdict" completed with verdict 'Pass'. [0 ms]
2016-10-14 16:40:40.352 ; TestPlan      ; Information ; TestPlan Run finished. [2064 ms]
2016-10-14 16:40:40.353 ; TestPlan      ; Debug       ; TestStep 'Set Verdict' PostPlanRun completed. [0 ms]
2016-10-14 16:40:40.353 ; TestPlan      ; Debug       ; TestStep 'Delay (1)' PostPlanRun completed. [0 ms]
2016-10-14 16:40:40.353 ; TestPlan      ; Debug       ; TestStep 'Delay' PostPlanRun completed. [0 ms]
2016-10-14 16:43:19.085 ; Session       ; Debug       ; Session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:43:19.094 ; Session       ; Debug       ; Startup session log loaded as 'TapPythonConsole_log.txt'.
2016-10-14 16:43:19.166 ; TestPlan      ; Information ; Loaded test plan from Delay-Verdict.TapPlan [70 ms]
2016-10-14 16:43:19.177 ; TestPlan      ; Information ; ------------------------------------------------
2016-10-14 16:43:19.188 ; TestPlan      ; Information ; Starting TestPlan 'Delay-Verdict.TapPlan' on 10/14/2016 4:43:19 PM, 3 of 3 TestSteps enabled.
2016-10-14 16:43:19.199 ; Settings      ; Debug       ; No settings file exists for DutSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.204 ; Settings      ; Debug       ; No settings file exists for ConnectionSettings. A new instance with default values has been created. [0ms]
2016-10-14 16:43:19.204 ; Settings      ; Debug       ; No settings file exists for InstrumentSettings. A new instance with default values has been created. [0ms]
